Order_ID,Order_Date,Customer_ID,Product_ID,Salesperson_ID,Quantity,Discount,Payment_Mode,Sales_Channel,Order_Status
O0001,2025-09-18,C079,P024,S002,6,0.2,Cash,Store,Completed
O0002,2025-12-08,C137,P017,S010,6,0.1,Bank Transfer,Distributor,Completed
O0003,2024-01-14,C108,P017,S014,7,0.2,Cash,Online,Returned
O0004,2024-12-30,C008,P004,S008,4,0.05,Bank Transfer,Distributor,Returned
O0005,2025-04-29,C041,P014,S017,4,0.1,UPI,Distributor,Completed
O0006,2024-04-13,C030,P007,S013,2,0.15,Cash,Distributor,Completed
O0007,2025-03-02,C061,P011,S010,1,0.0,UPI,Store,Completed
O0008,2025-04-16,C106,P004,S021,2,0.05,Bank Transfer,Store,Completed
O0009,2024-05-07,C023,P012,S008,3,0.15,Bank Transfer,Online,Returned
O0010,2026-02-10,C034,P003,S001,8,0.15,UPI,Store,Returned
O0011,2024-03-03,C115,P016,S012,2,0.0,Bank Transfer,Online,Returned
O0012,2025-10-17,C018,P009,S023,4,0.15,UPI,Store,Completed
O0013,2024-01-12,C037,P020,S020,5,0.1,Bank Transfer,Online,Completed
O0014,2025-01-08,C020,P014,S029,2,0.2,Cash,Store,Returned
O0015,2026-05-28,C149,P010,S008,3,0.2,Bank Transfer,Store,Completed
O0016,2025-07-22,C065,P017,S015,5,0.15,Cash,Online,Returned
O0017,2024-06-15,C092,P017,S010,5,0.1,UPI,Distributor,Completed
O0018,2024-01-02,C051,P020,S020,6,0.1,UPI,Distributor,Completed
O0019,2025-02-19,C109,P020,S015,7,0.0,Cash,Store,Returned
O0020,2025-08-21,C084,P019,S013,6,0.0,Cash,Store,Completed
O0021,2026-03-22,C065,P016,S001,6,0.15,Bank Transfer,Online,Completed
O0022,2026-06-03,C076,P018,S018,1,0.0,Cash,Store,Completed
O0023,2025-01-28,C077,P023,S009,1,0.05,Credit Card,Online,Completed
O0024,2024-08-22,C046,P002,S023,6,0.2,Bank Transfer,Online,Completed
O0025,2024-10-23,C033,P004,S028,7,0.05,UPI,Distributor,Completed
O0026,2024-04-17,C019,P019,S028,7,0.0,Credit Card,Store,Completed
O0027,2026-02-13,C074,P014,S030,6,0.2,Bank Transfer,Online,Completed
O0028,2025-02-28,C080,P005,S009,3,0.2,Bank Transfer,Distributor,Completed
O0029,2024-03-11,C117,P019,S014,8,0.15,Credit Card,Online,Completed
O0030,2026-03-07,C025,P005,S014,4,0.1,Bank Transfer,Distributor,Completed
O0031,2024-07-29,C083,P006,S025,5,0.0,UPI,Online,Returned
O0032,2025-01-30,C020,P012,S013,2,0.0,Cash,Distributor,Completed
O0033,2024-10-10,C142,P008,S007,6,0.1,UPI,Store,Completed
O0034,2026-04-23,C140,P003,S023,4,0.15,Cash,Online,Completed
O0035,2024-06-02,C050,P018,S009,2,0.15,Cash,Distributor,Returned
O0036,2025-01-06,C049,P007,S025,3,0.1,Bank Transfer,Online,Completed
O0037,2025-09-30,C074,P018,S002,6,0.05,Cash,Store,Completed
O0038,2024-11-08,C039,P009,S015,7,0.0,Credit Card,Store,Completed
O0039,2024-09-21,C107,P003,S016,6,0.1,Cash,Online,Completed
O0040,2024-03-10,C075,P025,S014,2,0.05,Credit Card,Distributor,Completed
O0041,2024-01-31,C081,P007,S001,6,0.0,Cash,Store,Returned
O0042,2025-11-30,C086,P018,S024,4,0.0,Cash,Distributor,Returned
O0043,2025-12-02,C126,P023,S014,1,0.1,Cash,Online,Completed
O0044,2025-07-22,C135,P012,S026,7,0.2,UPI,Distributor,Completed
O0045,2025-03-19,C120,P022,S002,1,0.15,Credit Card,Distributor,Returned
O0046,2025-02-17,C031,P023,S030,6,0.0,Cash,Online,Completed
O0047,2025-03-08,C058,P021,S007,5,0.05,Bank Transfer,Distributor,Completed
O0048,2024-05-04,C010,P024,S017,8,0.1,Credit Card,Store,Completed
O0049,2026-04-14,C051,P023,S020,5,0.05,Cash,Store,Completed
O0050,2025-03-08,C112,P018,S014,4,0.0,Bank Transfer,Store,Completed
O0051,2026-06-14,C056,P020,S018,8,0.1,Cash,Distributor,Completed
O0052,2026-01-19,C085,P018,S003,4,0.1,Credit Card,Online,Returned
O0053,2024-06-29,C057,P024,S025,4,0.1,Bank Transfer,Store,Returned
O0054,2024-02-13,C071,P024,S029,5,0.0,UPI,Store,Returned
O0055,2024-12-10,C018,P025,S013,7,0.1,Bank Transfer,Online,Completed
O0056,2025-12-16,C072,P004,S023,1,0.2,Credit Card,Online,Completed
O0057,2026-04-09,C148,P011,S008,5,0.2,Cash,Online,Completed
O0058,2024-06-23,C145,P009,S025,8,0.1,Bank Transfer,Distributor,Completed
O0059,2026-02-24,C141,P005,S009,5,0.15,UPI,Online,Returned
O0060,2024-04-05,C095,P013,S025,1,0.2,UPI,Online,Completed
O0061,2024-01-17,C011,P021,S011,3,0.0,UPI,Store,Completed
O0062,2026-02-26,C005,P019,S004,8,0.0,Credit Card,Distributor,Completed
O0063,2025-05-19,C052,P008,S002,6,0.15,UPI,Online,Completed
O0064,2024-11-15,C135,P017,S016,8,0.2,UPI,Store,Returned
O0065,2026-05-24,C020,P004,S010,7,0.05,Cash,Online,Completed
O0066,2024-01-06,C048,P001,S008,4,0.0,UPI,Store,Completed
O0067,2025-10-06,C053,P001,S001,5,0.05,Bank Transfer,Online,Returned
